,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
78,This unlucky driver seldom sweeps the room nowadays.,These unlucky drivers seldom sweep the room nowadays.,This driver,These drivers,This,These,unlucky,unlucky,driver,drivers,seldom,seldom,sweeps,sweep,"['the', 'room']","['the', 'room']",0,78,8
79,This dumb lady ever heals the lawyer nowadays.,These dumb ladies ever heal the lawyer nowadays.,This lady,These ladies,This,These,dumb,dumb,lady,ladies,ever,ever,heals,heal,"['the', 'lawyer']","['the', 'lawyer']",0,79,8
80,That giant actress seldom holds the waiter nowadays.,Those giant actresses seldom hold the waiter nowadays.,That actress,Those actresses,That,Those,giant,giant,actress,actresses,seldom,seldom,holds,hold,"['the', 'waiter']","['the', 'waiter']",0,80,8
81,That nice dermatologist barely grows the tomatoes nowadays.,Those nice dermatologists barely grow the tomatoes nowadays.,That dermatologist,Those dermatologists,That,Those,nice,nice,dermatologist,dermatologists,barely,barely,grows,grow,"['the', 'tomatoes']","['the', 'tomatoes']",0,81,8
82,Those great committees sometimes spend the money nowadays.,That great committee sometimes spends the money nowadays.,Those committees,That committee,Those,That,great,great,committees,committee,sometimes,sometimes,spend,spends,"['the', 'money']","['the', 'money']",1,82,8
84,This exposed senator often observes the lawyers nowadays.,These exposed senators often observe the lawyers nowadays.,This senator,These senators,This,These,exposed,exposed,senator,senators,often,often,observes,observe,"['the', 'lawyers']","['the', 'lawyers']",0,84,8
86,Those sick oncologists always write the book nowadays.,That sick oncologist always writes the book nowadays.,Those oncologists,That oncologist,Those,That,sick,sick,oncologists,oncologist,always,always,write,writes,"['the', 'book']","['the', 'book']",1,86,8
88,This elderly girl hardly describes the waitress nowadays.,These elderly girls hardly describe the waitress nowadays.,This girl,These girls,This,These,elderly,elderly,girl,girls,hardly,hardly,describes,describe,"['the', 'waitress']","['the', 'waitress']",0,88,8
89,That concealed senator seldom cures the horse nowadays.,Those concealed senators seldom cure the horse nowadays.,That senator,Those senators,That,Those,concealed,concealed,senator,senators,seldom,seldom,cures,cure,"['the', 'horse']","['the', 'horse']",0,89,8
90,That smart pedestrian rarely holds the wheelbarrow nowadays.,Those smart pedestrians rarely hold the wheelbarrow nowadays.,That pedestrian,Those pedestrians,That,Those,smart,smart,pedestrian,pedestrians,rarely,rarely,holds,hold,"['the', 'wheelbarrow']","['the', 'wheelbarrow']",0,90,8
91,These smart drivers seldom heal the lawyers nowadays.,This smart driver seldom heals the lawyers nowadays.,These drivers,This driver,These,This,smart,smart,drivers,driver,seldom,seldom,heal,heals,"['the', 'lawyers']","['the', 'lawyers']",1,91,8
92,This orange eggplant often distracts the hairdresser nowadays.,These orange eggplants often distract the hairdresser nowadays.,This eggplant,These eggplants,This,These,orange,orange,eggplant,eggplants,often,often,distracts,distract,"['the', 'hairdresser']","['the', 'hairdresser']",0,92,8
93,This terrible plumber barely aggravates the people nowadays.,These terrible plumbers barely aggravate the people nowadays.,This plumber,These plumbers,This,These,terrible,terrible,plumber,plumbers,barely,barely,aggravates,aggravate,"['the', 'people']","['the', 'people']",0,93,8
95,These authentic waitresses scarcely catch the adults nowadays.,This authentic waitress scarcely catches the adults nowadays.,These waitresses,This waitress,These,This,authentic,authentic,waitresses,waitress,scarcely,scarcely,catch,catches,"['the', 'adults']","['the', 'adults']",1,95,8
96,These fat children sometimes heal the actress nowadays.,This fat child sometimes heals the actress nowadays.,These children,This child,These,This,fat,fat,children,child,sometimes,sometimes,heal,heals,"['the', 'actress']","['the', 'actress']",1,96,8
97,This ugly podiatrist sometimes bites the cakes nowadays.,These ugly podiatrists sometimes bite the cakes nowadays.,This podiatrist,These podiatrists,This,These,ugly,ugly,podiatrist,podiatrists,sometimes,sometimes,bites,bite,"['the', 'cakes']","['the', 'cakes']",0,97,8
99,Those false actresses often find the skirts nowadays.,That false actress often finds the skirts nowadays.,Those actresses,That actress,Those,That,false,false,actresses,actress,often,often,find,finds,"['the', 'skirts']","['the', 'skirts']",1,99,8
100,That bad senator sometimes breeds the cats nowadays.,Those bad senators sometimes breed the cats nowadays.,That senator,Those senators,That,Those,bad,bad,senator,senators,sometimes,sometimes,breeds,breed,"['the', 'cats']","['the', 'cats']",0,100,8
101,Those bad oncologists seldom see the rabbit nowadays.,That bad oncologist seldom sees the rabbit nowadays.,Those oncologists,That oncologist,Those,That,bad,bad,oncologists,oncologist,seldom,seldom,see,sees,"['the', 'rabbit']","['the', 'rabbit']",1,101,8
102,This large boy often loses the dermatologist nowadays.,These large boys often lose the dermatologist nowadays.,This boy,These boys,This,These,large,large,boy,boys,often,often,loses,lose,"['the', 'dermatologist']","['the', 'dermatologist']",0,102,8
103,These organized dancers seldom ride the planes nowadays.,This organized dancer seldom rides the planes nowadays.,These dancers,This dancer,These,This,organized,organized,dancers,dancer,seldom,seldom,ride,rides,"['the', 'planes']","['the', 'planes']",1,103,8
104,That stupid lawyer always throws the computer nowadays.,Those stupid lawyers always throw the computer nowadays.,That lawyer,Those lawyers,That,Those,stupid,stupid,lawyer,lawyers,always,always,throws,throw,"['the', 'computer']","['the', 'computer']",0,104,8
105,This upset associate often makes the planes nowadays.,These upset associates often make the planes nowadays.,This associate,These associates,This,These,upset,upset,associate,associates,often,often,makes,make,"['the', 'planes']","['the', 'planes']",0,105,8
106,Those smart teachers always boycott the museum nowadays.,That smart teacher always boycotts the museum nowadays.,Those teachers,That teacher,Those,That,smart,smart,teachers,teacher,always,always,boycott,boycotts,"['the', 'museum']","['the', 'museum']",1,106,8
107,That fake government always annoys the teacher nowadays.,Those fake governments always annoy the teacher nowadays.,That government,Those governments,That,Those,fake,fake,government,governments,always,always,annoys,annoy,"['the', 'teacher']","['the', 'teacher']",0,107,8
109,This troubled lawyer rarely sinks the raft nowadays.,These troubled lawyers rarely sink the raft nowadays.,This lawyer,These lawyers,This,These,troubled,troubled,lawyer,lawyers,rarely,rarely,sinks,sink,"['the', 'raft']","['the', 'raft']",0,109,8
110,These hopeful actors ever examine the essay nowadays.,This hopeful actor ever examines the essay nowadays.,These actors,This actor,These,This,hopeful,hopeful,actors,actor,ever,ever,examine,examines,"['the', 'essay']","['the', 'essay']",1,110,8
111,Those hopeful associates sometimes break the plate nowadays.,That hopeful associate sometimes breaks the plate nowadays.,Those associates,That associate,Those,That,hopeful,hopeful,associates,associate,sometimes,sometimes,break,breaks,"['the', 'plate']","['the', 'plate']",1,111,8
112,These troubled waiters sometimes light the candle nowadays.,This troubled waiter sometimes lights the candle nowadays.,These waiters,This waiter,These,This,troubled,troubled,waiters,waiter,sometimes,sometimes,light,lights,"['the', 'candle']","['the', 'candle']",1,112,8
116,These healthy guests sometimes hate the waitress nowadays.,This healthy guest sometimes hates the waitress nowadays.,These guests,This guest,These,This,healthy,healthy,guests,guest,sometimes,sometimes,hate,hates,"['the', 'waitress']","['the', 'waitress']",1,116,8
117,Those smart oncologists scarcely criticize the handyman nowadays.,That smart oncologist scarcely criticizes the handyman nowadays.,Those oncologists,That oncologist,Those,That,smart,smart,oncologists,oncologist,scarcely,scarcely,criticize,criticizes,"['the', 'handyman']","['the', 'handyman']",1,117,8
119,This beautiful dermatologist always meets the dancer nowadays.,These beautiful dermatologists always meet the dancer nowadays.,This dermatologist,These dermatologists,This,These,beautiful,beautiful,dermatologist,dermatologists,always,always,meets,meet,"['the', 'dancer']","['the', 'dancer']",0,119,8
122,This expensive sock scarcely disturbs the senator nowadays.,These expensive socks scarcely disturb the senator nowadays.,This sock,These socks,This,These,expensive,expensive,sock,socks,scarcely,scarcely,disturbs,disturb,"['the', 'senator']","['the', 'senator']",0,122,8
123,These tiny teenagers rarely fire the lady nowadays.,This tiny teenager rarely fires the lady nowadays.,These teenagers,This teenager,These,This,tiny,tiny,teenagers,teenager,rarely,rarely,fire,fires,"['the', 'lady']","['the', 'lady']",1,123,8
124,These ordinary hairdressers sometimes know the actors nowadays.,This ordinary hairdresser sometimes knows the actors nowadays.,These hairdressers,This hairdresser,These,This,ordinary,ordinary,hairdressers,hairdresser,sometimes,sometimes,know,knows,"['the', 'actors']","['the', 'actors']",1,124,8
125,That skinny snake sometimes underwhelms the students nowadays.,Those skinny snakes sometimes underwhelm the students nowadays.,That snake,Those snakes,That,Those,skinny,skinny,snake,snakes,sometimes,sometimes,underwhelms,underwhelm,"['the', 'students']","['the', 'students']",0,125,8
127,Those old customers often breed the turtles nowadays.,That old customer often breeds the turtles nowadays.,Those customers,That customer,Those,That,old,old,customers,customer,often,often,breed,breeds,"['the', 'turtles']","['the', 'turtles']",1,127,8
128,That old boy hardly respects the pedestrians nowadays.,Those old boys hardly respect the pedestrians nowadays.,That boy,Those boys,That,Those,old,old,boy,boys,hardly,hardly,respects,respect,"['the', 'pedestrians']","['the', 'pedestrians']",0,128,8
129,This disorganized association often fires the contractors nowadays.,These disorganized associations often fire the contractors nowadays.,This association,These associations,This,These,disorganized,disorganized,association,associations,often,often,fires,fire,"['the', 'contractors']","['the', 'contractors']",0,129,8
130,These big boats rarely disturb the guest nowadays.,This big boat rarely disturbs the guest nowadays.,These boats,This boat,These,This,big,big,boats,boat,rarely,rarely,disturb,disturbs,"['the', 'guest']","['the', 'guest']",1,130,8
131,This big skirt ever aggravates the lady nowadays.,These big skirts ever aggravate the lady nowadays.,This skirt,These skirts,This,These,big,big,skirt,skirts,ever,ever,aggravates,aggravate,"['the', 'lady']","['the', 'lady']",0,131,8
132,That concealed handyman scarcely loses the scarf nowadays.,Those concealed handymen scarcely lose the scarf nowadays.,That handyman,Those handymen,That,Those,concealed,concealed,handyman,handymen,scarcely,scarcely,loses,lose,"['the', 'scarf']","['the', 'scarf']",0,132,8
133,Those great unicycles hardly annoy the organizations nowadays.,That great unicycle hardly annoys the organizations nowadays.,Those unicycles,That unicycle,Those,That,great,great,unicycles,unicycle,hardly,hardly,annoy,annoys,"['the', 'organizations']","['the', 'organizations']",1,133,8
135,Those fat adults seldom fix the carriage nowadays.,That fat adult seldom fixes the carriage nowadays.,Those adults,That adult,Those,That,fat,fat,adults,adult,seldom,seldom,fix,fixes,"['the', 'carriage']","['the', 'carriage']",1,135,8
136,Those tiny dancers hardly buy the hospitals nowadays.,That tiny dancer hardly buys the hospitals nowadays.,Those dancers,That dancer,Those,That,tiny,tiny,dancers,dancer,hardly,hardly,buy,buys,"['the', 'hospitals']","['the', 'hospitals']",1,136,8
137,This unattractive teacher seldom leaves the cashier nowadays.,These unattractive teachers seldom leave the cashier nowadays.,This teacher,These teachers,This,These,unattractive,unattractive,teacher,teachers,seldom,seldom,leaves,leave,"['the', 'cashier']","['the', 'cashier']",0,137,8
138,That fake association rarely discusses the mountains nowadays.,Those fake associations rarely discuss the mountains nowadays.,That association,Those associations,That,Those,fake,fake,association,associations,rarely,rarely,discusses,discuss,"['the', 'mountains']","['the', 'mountains']",0,138,8
139,These young senators seldom see the bicycle nowadays.,This young senator seldom sees the bicycle nowadays.,These senators,This senator,These,This,young,young,senators,senator,seldom,seldom,see,sees,"['the', 'bicycle']","['the', 'bicycle']",1,139,8
140,Those bad hairdressers sometimes destroy the windows nowadays.,That bad hairdresser sometimes destroys the windows nowadays.,Those hairdressers,That hairdresser,Those,That,bad,bad,hairdressers,hairdresser,sometimes,sometimes,destroy,destroys,"['the', 'windows']","['the', 'windows']",1,140,8
141,Those big hospitals scarcely discuss the partner nowadays.,That big hospital scarcely discusses the partner nowadays.,Those hospitals,That hospital,Those,That,big,big,hospitals,hospital,scarcely,scarcely,discuss,discusses,"['the', 'partner']","['the', 'partner']",1,141,8
143,That small partner seldom bites the man nowadays.,Those small partners seldom bite the man nowadays.,That partner,Those partners,That,Those,small,small,partner,partners,seldom,seldom,bites,bite,"['the', 'man']","['the', 'man']",0,143,8
145,These cool teenagers ever boycott the schools nowadays.,This cool teenager ever boycotts the schools nowadays.,These teenagers,This teenager,These,This,cool,cool,teenagers,teenager,ever,ever,boycott,boycotts,"['the', 'schools']","['the', 'schools']",1,145,8
146,This smart customer hardly helps the podiatrist nowadays.,These smart customers hardly help the podiatrist nowadays.,This customer,These customers,This,These,smart,smart,customer,customers,hardly,hardly,helps,help,"['the', 'podiatrist']","['the', 'podiatrist']",0,146,8
147,This giant dermatologist rarely tears the shawls nowadays.,These giant dermatologists rarely tear the shawls nowadays.,This dermatologist,These dermatologists,This,These,giant,giant,dermatologist,dermatologists,rarely,rarely,tears,tear,"['the', 'shawls']","['the', 'shawls']",0,147,8
149,These attractive actors seldom see the doors nowadays.,This attractive actor seldom sees the doors nowadays.,These actors,This actor,These,This,attractive,attractive,actors,actor,seldom,seldom,see,sees,"['the', 'doors']","['the', 'doors']",1,149,8
150,That disorganized organization always fights the men nowadays.,Those disorganized organizations always fight the men nowadays.,That organization,Those organizations,That,Those,disorganized,disorganized,organization,organizations,always,always,fights,fight,"['the', 'men']","['the', 'men']",0,150,8
151,That bad patient always investigates the partner nowadays.,Those bad patients always investigate the partner nowadays.,That patient,Those patients,That,Those,bad,bad,patient,patients,always,always,investigates,investigate,"['the', 'partner']","['the', 'partner']",0,151,8
153,These unemployed patients rarely spend the money nowadays.,This unemployed patient rarely spends the money nowadays.,These patients,This patient,These,This,unemployed,unemployed,patients,patient,rarely,rarely,spend,spends,"['the', 'money']","['the', 'money']",1,153,8
154,This good story rarely strikes the dentist nowadays.,These good stories rarely strike the dentist nowadays.,This story,These stories,This,These,good,good,story,stories,rarely,rarely,strikes,strike,"['the', 'dentist']","['the', 'dentist']",0,154,8
155,This new plate often astounds the hospitals nowadays.,These new plates often astound the hospitals nowadays.,This plate,These plates,This,These,new,new,plate,plates,often,often,astounds,astound,"['the', 'hospitals']","['the', 'hospitals']",0,155,8
157,These false paintings barely embarrass the teachers nowadays.,This false painting barely embarrasses the teachers nowadays.,These paintings,This painting,These,This,false,false,paintings,painting,barely,barely,embarrass,embarrasses,"['the', 'teachers']","['the', 'teachers']",1,157,8
158,Those green cakes hardly embarrass the oncologist nowadays.,That green cake hardly embarrasses the oncologist nowadays.,Those cakes,That cake,Those,That,green,green,cakes,cake,hardly,hardly,embarrass,embarrasses,"['the', 'oncologist']","['the', 'oncologist']",1,158,8
159,These hard restaurants sometimes bore the student nowadays.,This hard restaurant sometimes bores the student nowadays.,These restaurants,This restaurant,These,This,hard,hard,restaurants,restaurant,sometimes,sometimes,bore,bores,"['the', 'student']","['the', 'student']",1,159,8
160,These authentic restaurants always astound the dermatologist nowadays.,This authentic restaurant always astounds the dermatologist nowadays.,These restaurants,This restaurant,These,This,authentic,authentic,restaurants,restaurant,always,always,astound,astounds,"['the', 'dermatologist']","['the', 'dermatologist']",1,160,8
161,This careful plumber ever draws the plates nowadays.,These careful plumbers ever draw the plates nowadays.,This plumber,These plumbers,This,These,careful,careful,plumber,plumbers,ever,ever,draws,draw,"['the', 'plates']","['the', 'plates']",0,161,8
162,These brown carts seldom resemble the pictures nowadays.,This brown cart seldom resembles the pictures nowadays.,These carts,This cart,These,This,brown,brown,carts,cart,seldom,seldom,resemble,resembles,"['the', 'pictures']","['the', 'pictures']",1,162,8
163,Those beautiful customers rarely ascend the mountain nowadays.,That beautiful customer rarely ascends the mountain nowadays.,Those customers,That customer,Those,That,beautiful,beautiful,customers,customer,rarely,rarely,ascend,ascends,"['the', 'mountain']","['the', 'mountain']",1,163,8
164,That great guest always freezes the juice nowadays.,Those great guests always freeze the juice nowadays.,That guest,Those guests,That,Those,great,great,guest,guests,always,always,freezes,freeze,"['the', 'juice']","['the', 'juice']",0,164,8
